SPEC_ID,NAME,RA,DEC,Z,Quality
207,g0001337-650344,0.39058333,-65.06213889,0.057337,4
211,g0000313-650312,0.13029167,-65.05333333,0.11741,4
250,g0000097-633538,0.04029167,-63.59375,0.137163,4
253,g0001272-630131,0.363125,-63.02519444,0.069759,4
258,g0004108-624426,1.04483333,-62.74047222,0.077626,4
262,g0004422-630051,1.175875,-63.01425,0.0827,4
264,g0000311-613840,0.129625,-61.64436111,0.078658,4
265,g0001315-623652,0.38116667,-62.61447222,0.078639,4
267,g0006026-613445,1.51083333,-61.57913889,0.093149,4
268,g0002332-621108,0.63845833,-62.18547222,0.132091,4
269,g0007303-610926,1.87620833,-61.15708333,0.029855,4
270,g0008249-610805,2.10358333,-61.13475,0.015284,4
271,g0004456-620342,1.18995833,-62.06155556,0.015305,4
272,g0005479-620714,1.449375,-62.12044444,0.015205,4
273,g0009365-613249,2.402,-61.54694444,0.098656,4
274,g0012108-620104,3.04504167,-62.01775,0.077046,4
275,g0011281-614450,2.86704167,-61.74722222,0.090986,4
276,g0013521-613629,3.466875,-61.60808333,0.098557,4
278,g0016224-612927,4.09345833,-61.49088889,0.144893,3
279,g0015191-614441,3.82941667,-61.74461111,0.029653,4
280,g0013074-625311,3.28095833,-62.88636111,0.031338,4
281,g0017325-614259,4.38529167,-61.71627778,0.061129,4
282,g0019365-614127,4.90191667,-61.69091667,0.037124,4
283,g0008523-623315,2.21791667,-62.55425,0.183705,3
284,g0004158-642525,1.06566667,-64.42372222,0.11854,4
286,g0023483-621610,5.95125,-62.26947222,0.033678,4
287,g0017231-625104,4.34608333,-62.85119444,0.049366,4
288,g0018100-624319,4.5415,-62.72205556,0.067537,4
289,g0025075-624204,6.281375,-62.70105556,0.042899,3
290,g0026040-625844,6.51666667,-62.97886111,0.033649,4
291,g0026173-630443,6.57208333,-63.07852778,0.067368,4
292,g0027116-630801,6.798375,-63.13347222,0.068108,4
293,g0016303-632400,4.12641667,-63.40005556,0.094529,4
294,g0017317-635250,4.382125,-63.88058333,0.042206,4
295,g0023016-634960,5.75679167,-63.83330556,0.042587,4
297,g0020570-635125,5.23741667,-63.85705556,0.005988,4
298,g0015356-635153,3.89816667,-63.86458333,0.099053,4
299,g0023539-642310,5.974375,-64.38619444,0.07468,3
300,g0017542-641137,4.47595833,-64.19372222,0.075172,4
301,g0025311-644324,6.379375,-64.72336111,0.103545,4
302,g0016361-641137,4.150375,-64.19361111,0.005878,4
303,g0013178-640535,3.32425,-64.09302778,0.101553,4
304,g0012054-640551,3.02266667,-64.09752778,0.029349,4
307,g0022159-651503,5.566375,-65.25088889,0.113483,3
308,g0009451-641625,2.43779167,-64.27366667,0.05727,4
309,g0010109-642619,2.54541667,-64.43863889,0.116991,4
310,g0008330-634212,2.13741667,-63.70341667,0.1186,4
311,g0015565-651329,3.98525,-65.22483333,0.057592,4
312,g0019386-654638,4.91075,-65.77733333,0.113453,4
313,g0007192-643237,1.83016667,-64.54355556,0.016428,4
314,g0017583-655736,4.49279167,-65.95986111,0.118333,4
315,g0015064-655414,3.77645833,-65.90377778,0.058893,4
318,g0004090-643920,1.037625,-64.65552778,0.042346,4
319,g0005594-642012,1.49729167,-64.33661111,0.057447,4
320,g0010548-661207,2.72825,-66.20186111,0.078084,4
321,g0009117-661642,2.298625,-66.27836111,0.098395,4
322,g0003262-651148,0.85916667,-65.19666667,0.029329,4
323,g0006368-653259,1.65341667,-65.54966667,0.19474,4
324,g0003142-652212,0.80925,-65.37002778,0.021559,3
325,g0003136-033053,0.80675,-3.51483333,0.074254,4
326,g0002386-033752,0.660625,-3.63108333,0.021003,4
328,g0002161-031402,0.566875,-3.23377778,0.068024,4
330,g0000444-032854,0.18495833,-3.48172222,0.047255,4
331,g0001394-025852,0.414,-2.98113889,0.10136,4
334,g0002567-021209,0.73608333,-2.20244444,0.109091,4
335,g0004229-020622,1.09533333,-2.106,0.110251,4
336,g0000263-023419,0.109625,-2.57183333,0.101956,4
337,g0001210-013812,0.33733333,-1.63655556,-4.20E-05,4
338,g0000177-022256,0.07375,-2.38227778,0.025653,4
345,g0000356-014547,0.1485,-1.76316667,0.02451,4
353,g0000222-013746,0.09229167,-1.62947222,0.038371,4
366,g0000529-011020,0.22054167,-1.17211111,0.195078,4
368,g0001358-002343,0.39895833,-0.39525,0.078349,4
369,g0003057-015450,0.77358333,-1.91380556,0.024444,4
370,g0001134-005935,0.306,-0.993,0.084899,4
372,g0000078-000226,0.032625,-0.04063889,0.023904,4
373,g0000394-000047,0.16404167,-0.01311111,0.079519,4
374,g0004071-005149,1.02970833,-0.86363889,0.033695,4
375,g0004037-002947,1.01554167,-0.49636111,0.159856,4
376,g0004072-001544,1.03,-0.26225,0.076939,4
377,g0004472-013413,1.19675,-1.57022222,0.024025,4
378,g0001509-003914,0.46204167,-0.65386111,0.077419,4
379,g0006289-004703,1.62025,-0.78416667,0.044414,4
380,g0005566-002353,1.486,-0.39802778,0.115023,4
381,g0006039-004337,1.51633333,-0.72688889,0.073789,4
382,g0007108-002453,1.794875,-0.41461111,0.07378,4
383,g0008259-003631,2.10779167,-0.60869444,0.040614,4
384,g0007551-001341,1.979625,-0.22802778,0.085748,4
385,g0007306-004816,1.87758333,-0.80441667,0.07339,4
386,g0008382-004407,2.15920833,-0.73519444,0.039927,4
387,g0009116-003655,2.29829167,-0.61525,0.07342,4
388,g0007147-003831,1.81104167,-0.64191667,0.091728,4
389,g0009137-001504,2.307125,-0.25119444,0.07534,4
390,g0010394-000310,2.66404167,-0.05280556,0.039118,4
391,g0009412-003153,2.42154167,-0.53127778,0.040727,4
392,g0010519-002206,2.71629167,-0.36836111,0.032047,4
393,g0012337-000255,3.14041667,-0.0485,0.039895,4
394,g0012061-002455,3.02525,-0.41516667,0.018266,4
396,g0014265-002558,3.61033333,-0.43286111,0.084862,4
397,g0015240-002409,3.84979167,-0.40241667,0.064958,4
398,g0012268-004819,3.11183333,-0.80538889,0.073441,4
400,g0011398-002828,2.915625,-0.47455556,0.057239,4
401,g0014319-004415,3.63279167,-0.73761111,0.013326,4
402,g0004576-014108,1.239875,-1.68552778,0.023995,4
403,g0004154-015101,1.06425,-1.85030556,0.074195,4
404,g0010161-004350,2.56695833,-0.73058333,0.039517,4
407,g0012283-013250,3.11795833,-1.54727778,0.066877,4
408,g0004182-010941,1.07591667,-1.16144444,0.089227,4
409,g0007446-015645,1.93591667,-1.94586111,0.037863,4
410,g0014054-015057,3.52245833,-1.84902778,0.092032,4
411,g0014476-021330,3.69841667,-2.22505556,0.018226,4
412,g0009334-010509,2.38904167,-1.08575,0.062656,4
413,g0012113-015019,3.04708333,-1.83847222,0.067246,4
414,g0009188-014519,2.32841667,-1.75513889,0.039667,4
415,g0008133-005753,2.05520833,-0.96480556,0.139095,4
416,g0009395-021437,2.41475,-2.24369444,0.085487,4
417,g0010258-022922,2.60729167,-2.48947222,0.038407,4
418,g0008445-014117,2.185375,-1.68816667,0.072466,4
419,g0009003-022255,2.25129167,-2.382,0.012454,4
420,g0008296-020129,2.12329167,-2.02466667,0.071139,4
421,g0006233-015338,1.597,-1.89394444,0.072926,4
422,g0006162-020848,1.56741667,-2.14652778,0.108898,4
423,g0007526-020442,1.96908333,-2.07825,0.073319,4
424,g0004390-015828,1.16258333,-1.97436111,0.028585,4
425,g0007257-025456,1.857,-2.91558333,0.066925,4
426,g0007292-032502,1.87154167,-3.41722222,0.09575,4
427,g0007328-033733,1.88654167,-3.62588889,0.097391,4
430,g0006500-034323,1.70833333,-3.72302778,0.021381,4
432,g0002063-101307,0.52633333,-10.2185,0.029988,4
433,g0002461-092611,0.69216667,-9.43633333,0.076359,4
434,g0001496-094138,0.45658333,-9.69383333,0.103934,4
436,g0003518-085447,0.96595833,-8.91294444,0.038479,4
439,g0001049-090916,0.27045833,-9.15436111,0.05555,4
440,g0002491-075651,0.7045,-7.94747222,0.90351,3
441,g0002278-074121,0.61575,-7.68905556,0.076052,4
443,g0000158-085328,0.065625,-8.89116667,0.05621,4
447,g0000343-075626,0.14275,-7.94063889,1.05263,3
450,g0000067-075230,0.028,-7.87505556,0.084069,4
456,g0003051-073700,0.77108333,-7.61675,0.029875,4
457,g0002023-073913,0.50941667,-7.65369444,0.012767,4
460,g0001330-072610,0.38729167,-7.43613889,0.029565,4
462,g0001441-071632,0.43358333,-7.27547222,0.029718,4
463,g0000235-065610,0.09783333,-6.93619444,0.037695,4
465,g0005100-064045,1.29158333,-6.67927778,2.51003,4
472,g0000086-062226,0.036,-6.374,0.021877,4
473,g0000157-055037,0.065375,-5.84358333,0.038089,4
477,g0000408-054718,0.16983333,-5.78844444,0.074118,4
478,g0000510-052215,0.21241667,-5.37086111,0.037519,4
479,g0001314-055904,0.38083333,-5.98433333,0.000102,4
480,g0003116-060530,0.79841667,-6.09177778,0.233306,4
481,g0002437-051417,0.68216667,-5.238,0.074962,4
482,g0004195-061136,1.08125,-6.19322222,0.08424,4
483,g0003337-055149,0.89033333,-5.8635,0.107955,4
484,g0004560-060134,1.2335,-6.02602778,0.103592,4
485,g0004538-063219,1.22420833,-6.53855556,0.116513,4
486,g0007259-045447,1.85791667,-4.91311111,0.018698,4
487,g0007492-051715,1.955125,-5.28744444,0.315124,3
488,g0006139-062335,1.55783333,-6.39313889,0.346796,4
489,g0008358-051300,2.14908333,-5.21675,0.039371,4
490,g0006297-065855,1.62375,-6.98188889,0.07586,4
491,g0005145-065825,1.31054167,-6.97366667,0.107415,3
492,g0007315-063443,1.88129167,-6.57858333,2.11587,3
493,g0002551-073021,0.72970833,-7.50580556,0.028948,4
495,g0011237-053526,2.84875,-5.59058333,0.02632,4
496,g0005328-063834,1.38683333,-6.64286111,0.021718,4
497,g0011515-053041,2.96441667,-5.51144444,0.02682,4
499,g0009311-061723,2.37966667,-6.28961111,0.075584,4
500,g0011379-055803,2.90770833,-5.96747222,0.110487,4
501,g0010200-061706,2.58316667,-6.28491667,0.08196,4
502,g0010098-062933,2.541,-6.49258333,0.06586,4
503,g0010234-070504,2.59758333,-7.08444444,0.021139,4
504,g0011108-062756,2.79504167,-6.46561111,0.02778,4
505,g0010368-063823,2.65329167,-6.63972222,0.0273,4
506,g0015046-061854,3.76925,-6.31494444,0.037541,4
507,g0011347-065344,2.89454167,-6.89561111,0.108147,4
508,g0011433-072207,2.93025,-7.36872222,0.117938,4
509,g0004373-080213,1.15558333,-8.03686111,0.021974,4
510,g0013520-070552,3.46670833,-7.09780556,0.018549,4
511,g0008567-070218,2.23625,-7.03838889,0.029189,4
512,g0015077-070624,3.78195833,-7.10672222,0.01798,4
513,g0014526-071100,3.719,-7.18344444,0.036971,4
514,g0014411-071647,3.67129167,-7.27983333,0.01725,4
515,g0014164-072333,3.56845833,-7.39261111,0.037191,4
517,g0012476-072343,3.19816667,-7.39536111,0.128889,4
518,g0015304-075055,3.87679167,-7.84852778,0.178594,4
519,g0010578-073756,2.74095833,-7.63208333,0.811094,3
521,g0009512-075904,2.463125,-7.98452778,1.05893,3
523,g0010199-075151,2.58308333,-7.86413889,0.100246,3
525,g0013377-084620,3.40695833,-8.77219444,0.02183,4
527,g0010544-085440,2.726625,-8.91097222,1.74407,4
528,g0008577-083609,2.24025,-8.60258333,0.018248,4
529,g0005054-070536,1.272375,-7.09341667,0.012877,4
530,g0009432-090840,2.429875,-9.14441667,0.209305,3
531,g0011033-093904,2.763875,-9.65119444,0.022099,4
532,g0008295-071741,2.12270833,-7.29466667,0.028499,4
533,g0005483-073743,1.45129167,-7.62869444,0.029289,4
534,g0010373-095507,2.65533333,-9.91863889,0.101936,4
535,g0008502-091353,2.20916667,-9.23125,0.068833,4
536,g0007233-084135,1.84725,-8.69311111,0.000423,4
537,g0006071-085622,1.529375,-8.93947222,0.067949,4
538,g0005447-080824,1.43641667,-8.13994444,0.175431,4
539,g0004025-081531,1.01058333,-8.25852778,0.029048,4
540,g0007175-101452,1.82291667,-10.24777778,0.28008,3
541,g0005317-093501,1.382,-9.58369444,0.065092,4
543,g0004106-343933,1.044125,-34.65913889,0.097523,4
544,g0002408-343325,0.67016667,-34.55705556,0.112926,4
545,g0002116-342624,0.548125,-34.44011111,0.330129,4
546,g0002343-334538,0.643,-33.76044444,0.192744,3
548,g0000090-334136,0.037375,-33.69333333,0.057287,4
549,g0001328-334532,0.386625,-33.75883333,0.022935,4
550,g0000160-343305,0.06670833,-34.55133333,0.112105,4
552,g0000586-333643,0.24408333,-33.61194444,0.023046,4
560,g0002039-332802,0.51616667,-33.46727778,0.028919,4
574,g0001176-324833,0.323125,-32.80919444,1.66687,4
576,g0001286-320842,0.36904167,-32.14511111,0.4676,4
577,g0001207-313442,0.33633333,-31.57838889,0.94874,3
587,g0000095-313921,0.039375,-31.65569444,1.88779,4
590,g0003089-315130,0.78704167,-31.85833333,0.107645,4
591,g0002168-314631,0.56979167,-31.77522222,0.07072,4
592,g0000239-304007,0.099625,-30.6685,0.031731,4
594,g0001534-302509,0.47245833,-30.41916667,1.30252,4
595,g0002166-302955,0.56895833,-30.49866667,0.029242,4
596,g0002348-294824,0.64483333,-29.80666667,0.059199,4
597,g0004422-302901,1.17595833,-30.48363889,0.02665,4
598,g0006530-312313,1.72079167,-31.38691667,0.049322,4
599,g0007377-310830,1.90691667,-31.14172222,0.055543,4
601,g0012081-305338,3.033875,-30.89388889,0.061294,4
602,g0013075-310040,3.281375,-31.01119444,0.062101,4
603,g0010412-314125,2.67170833,-31.69038889,0.18153,4
605,g0013171-312405,3.32133333,-31.40133333,0.059364,4
607,g0016203-314233,4.08475,-31.70919444,0.120463,4
608,g0004598-314701,1.24929167,-31.78361111,0.030052,4
610,g0006297-315721,1.62358333,-31.95583333,0.026119,4
611,g0008489-320312,2.203875,-32.05338889,0.025963,3
612,g0012546-321441,3.22741667,-32.24483333,0.258378,3
613,g0006297-321849,1.623875,-32.31363889,0.044808,4
614,g0011539-323755,2.9745,-32.63188889,0.260847,4
615,g0006031-324214,1.51295833,-32.704,0.045571,4
616,g0014597-325441,3.74854167,-32.91127778,0.061133,4
617,g0015440-330150,3.93329167,-33.03063889,0.02487,4
618,g0006147-325155,1.56141667,-32.86538889,1.1562,4
620,g0004322-321458,1.134,-32.24952778,0.027341,4
621,g0008510-330509,2.21266667,-33.08569444,1.12972,4
623,g0005526-330207,1.46920833,-33.03525,0.092005,4
624,g0011126-333443,2.80245833,-33.57855556,0.026178,4
625,g0015042-340414,3.76733333,-34.07041667,0.022393,4
626,g0013009-335756,3.25391667,-33.96547222,0.022469,4
628,g0011027-335615,2.76133333,-33.9375,0.84895,4
630,g0002369-331035,0.65375,-33.17641667,0.57196,4
631,g0002551-325508,0.72941667,-32.919,0.03148,4
632,g0008371-332630,2.15466667,-33.44163889,0.047777,4
635,g0009264-350825,2.35979167,-35.14019444,0.049266,4
636,g0007318-343945,1.8825,-34.66236111,0.121203,4
637,g0006263-343430,1.609625,-34.57488889,0.113837,4
638,g0006010-340541,1.504125,-34.09472222,0.120117,4
640,g0004127-341819,1.05279167,-34.30513889,0.028549,4
641,g0006438-265606,1.68233333,-26.93488889,0.027163,4
642,g0004402-272149,1.16766667,-27.36372222,0.063265,4
645,g0001558-273738,0.48258333,-27.62722222,0.028314,4
646,g0004497-264320,1.20725,-26.72213889,0.064259,4
647,g0000551-273242,0.23016667,-27.54430556,0.028934,4
648,g0000413-272606,0.172,-27.43497222,0.028604,4
649,g0003304-263745,0.87666667,-26.62913889,0.020051,4
650,g0002558-265451,0.73254167,-26.91422222,0.066645,4
651,g0003243-263140,0.85108333,-26.52777778,0.063719,4
652,g0003183-250622,0.82608333,-25.10608333,0.084682,3
653,g0007092-255012,1.7885,-25.83666667,0.063757,4
654,g0000121-264348,0.05095833,-26.73044444,0.058937,4
656,g0002337-251149,0.64020833,-25.19702778,0.066486,4
657,g0000495-255356,0.20629167,-25.89875,0.051304,4
658,g0003096-254709,0.789875,-25.78586111,0.080327,4
660,g0002453-250218,0.688625,-25.03819444,0.084458,4
666,g0000141-251113,0.05883333,-25.18691667,0.085037,4
669,g0007076-243643,1.78154167,-24.61197222,0.051227,4
670,g0007411-245301,1.92104167,-24.88375,0.064342,4
673,g0001219-251145,0.34133333,-25.19566667,0.027536,4
674,g0006434-250447,1.68083333,-25.07963889,0.033799,4
679,g0000262-240514,0.10891667,-24.08716667,0.065846,4
680,g0002312-242314,0.63004167,-24.38733333,0.065917,4
681,g0001463-235026,0.44304167,-23.84058333,0.155188,4
682,g0000133-234547,0.05575,-23.76302778,0.0659,4
685,g0000052-231439,0.021625,-23.24419444,0.059527,4
687,g0009481-242146,2.45070833,-24.36280556,0.064449,4
688,g0002106-233506,0.54429167,-23.58505556,0.079829,4
689,g0007506-252038,1.960625,-25.34405556,0.063618,4
690,g0003592-230702,0.99645833,-23.11727778,0.097381,4
691,g0004256-251545,1.10645833,-25.26258333,0.051446,4
692,g0004111-225325,1.04616667,-22.89016667,0.098522,4
693,g0007320-224255,1.88333333,-22.71538889,0.052159,4
694,g0010536-251714,2.72329167,-25.28733333,0.063502,4
695,g0007591-250906,1.99608333,-25.15169444,0.034169,4
697,g0008489-254454,2.20391667,-25.74825,0.063501,3
698,g0010126-232326,2.55254167,-23.39041667,0.118415,4
699,g0010568-224025,2.736625,-22.67375,0.081663,4
700,g0011036-225524,2.76508333,-22.92338889,0.076552,4
701,g0011377-234036,2.90716667,-23.67655556,0.05411,4
703,g0011503-242147,2.959375,-24.36308333,0.034237,4
706,g0002170-242910,0.570625,-24.48622222,0.040168,3
707,g0013113-241059,3.29720833,-24.18319444,0.066044,4
708,g0014526-233923,3.71920833,-23.65641667,0.083264,4
709,g0013353-241512,3.39716667,-24.25327778,0.067361,4
710,g0015357-235444,3.89879167,-23.91219444,0.065342,4
711,g0017285-240723,4.368875,-24.12297222,0.063832,4
712,g0014035-243522,3.51475,-24.58938889,0.062951,4
713,g0017310-244017,4.37916667,-24.67127778,0.094565,4
714,g0012476-244517,3.1985,-24.75469444,0.063124,4
715,g0013094-245420,3.28908333,-24.90563889,0.05516,4
716,g0015389-252254,3.91195833,-25.38161111,0.064234,4
717,g0008537-255718,2.22391667,-25.95511111,0.027298,4
719,g0013016-251532,3.25658333,-25.25880556,0.110987,4
720,g0012597-254704,3.2485,-25.78461111,0.060622,4
722,g0005150-251256,1.31245833,-25.21563889,0.064177,4
724,g0013495-260051,3.45641667,-26.01405556,0.121798,3
727,g0013200-263535,3.33316667,-26.59311111,0.057531,4
728,g0009366-260415,2.40245833,-26.07075,0.025928,4
729,g0003577-252458,0.99041667,-25.41608333,0.034387,3
730,g0012098-270941,3.04070833,-27.16127778,0.034555,4
733,g0009174-264524,2.32258333,-26.75666667,0.063287,4
735,g0009055-272655,2.272875,-27.44861111,0.062926,4
736,g0007449-271755,1.93695833,-27.29847222,0.062926,3
738,g0007462-241833,1.94241667,-24.30905556,0.06295,4
739,g0004238-251933,1.09895833,-25.32580556,0.051344,4
740,g0004182-250606,1.075625,-25.10175,0.050464,4
741,g0006411-230521,1.671375,-23.08913889,0.118029,4
742,g0005194-232910,1.33066667,-23.48611111,0.236826,3
743,g0000421-251208,0.1755,-25.20216667,0.083722,4
744,g0000144-251444,0.05983333,-25.24552778,0.027687,4
746,g0000427-243522,0.17779167,-24.58933333,0.060233,4
747,g0001570-235809,0.48766667,-23.96919444,0.051578,4
748,g0001081-244046,0.28358333,-24.67936111,0.085623,4
749,g0001564-241654,0.48508333,-24.28158333,0.066008,4
753,g0000246-240434,0.10258333,-24.07616667,0.066564,4
755,g0000056-233542,0.023125,-23.59488889,0.101557,4
758,g0000026-232205,0.01075,-23.36802778,0.066584,4
762,g0003303-225637,0.87633333,-22.94372222,0.086459,4
765,g0001168-232033,0.320125,-23.34261111,1.70109,4
